Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [µS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [µg/l],Turb. [FTU],pH,DO [%],DO [mg/l],Quant. [µmol/(m2*s)],"Mark
"
0.05,29.55282352941176,32.315705882352944,53.91729411764706,49008.48235294117,1019.8659411764706,19.865941176470585,3.3437647058823528,3.3437647058823528,1.7197058823529412,7.823999999999999,37.78994117647059,2.4031764705882357,92.52529411764705,0.0
0.15000000000000002,29.57275,32.312,53.932,49002.05,1019.8570000000001,19.8565,3.5415,3.5415,1.8064999999999998,7.824,37.712,2.39775,77.4305,0.0
0.25,29.573500000000003,32.313500000000005,53.935,49003.95,1019.8585,19.8575,3.4105,3.4105,1.744,7.8235,37.5505,2.387,77.3835,0.0
0.35000000000000003,29.575333333333333,32.312333333333335,53.93533333333334,49002.666666666664,1019.8573333333334,19.856333333333335,3.577,3.577,1.8056666666666665,7.823,37.443666666666665,2.3806666666666665,68.71233333333335,0.0
0.45,29.576,32.314,53.937,49003.8,1019.859,19.857,3.676,3.676,1.855,7.823,37.363,2.375,64.705,0.0
0.55,29.574,32.315,53.938,49006.5,1019.861,19.859,3.753,3.753,1.989,7.823,37.344,2.374,63.954,0.0
0.6500000000000001,29.572999999999997,32.314,53.934666666666665,49004.5,1019.8603333333334,19.858,3.5976666666666666,3.5976666666666666,1.702,7.823,37.279,2.3699999999999997,57.34866666666667,0.0
0.7500000000000001,29.573,32.309,53.928,48998.5,1019.858,19.855,3.699,3.699,1.796,7.823,37.235,2.367,55.408,0.0
0.8500000000000001,29.572,32.311,53.93,49000.8,1019.859,19.856,3.652,3.652,1.84,7.823,37.21,2.366,55.596,0.0
0.9500000000000001,29.569799999999997,32.312200000000004,53.9292,49002.840000000004,1019.8619999999999,19.8578,3.5480000000000005,3.5480000000000005,1.763,7.823,37.12859999999999,2.3602,75.9936,0.0
1.05,29.5668,32.312400000000004,53.9268,49003.380000000005,1019.8634,19.8588,3.5463999999999998,3.5463999999999998,1.7363999999999997,7.822800000000001,37.178399999999996,2.364,80.14439999999999,0.0
1.1500000000000001,29.56627272727272,32.31145454545455,53.924727272727274,49002.05454545454,1019.8633636363636,19.858363636363638,3.489454545454545,3.489454545454545,1.8362727272727275,7.8228181818181834,37.16281818181819,2.362727272727273,80.30327272727273,0.0
1.2500000000000002,29.570249999999998,32.316500000000005,53.93625,49008.65,1019.866,19.86075,3.37775,3.37775,1.8477500000000002,7.822,36.994749999999996,2.35175,114.0325,0.0
1.35,29.569000000000003,32.31333333333333,53.93,49004.166666666664,1019.8643333333333,19.858666666666668,3.332666666666667,3.332666666666667,1.8153333333333332,7.822,36.97566666666666,2.3506666666666667,117.26466666666666,0.0
1.4500000000000002,29.562,32.311,53.921,49002.3,1019.866,19.86,3.364,3.364,1.766,7.822,36.967,2.35,134.012,0.0
1.55,29.563,32.311,53.921,49001.7,1019.866,19.859,3.364,3.364,1.751,7.822,37.005,2.352,126.405,0.0
1.6500000000000001,29.557166666666664,32.30983333333334,53.91333333333333,49000.700000000004,1019.8673333333332,19.860166666666668,3.383333333333333,3.383333333333333,1.917,7.822,37.05866666666667,2.3565,125.38816666666666,0.0
1.7500000000000002,29.54575,32.3095,53.90175000000001,49001.149999999994,1019.8715,19.863750000000003,3.323,3.323,1.8324999999999998,7.822,37.162,2.36325,120.982,0.0
1.85,29.5425,32.31,53.89925,49002.200000000004,1019.8732500000001,19.86525,3.3465,3.3465,1.9365,7.822,37.2455,2.36875,116.56825,0.0
1.9500000000000002,29.53525,32.314750000000004,53.89925,49008.825,1019.8795,19.87075,3.253,3.253,1.85875,7.8225,37.326,2.374,111.8725,0.0
2.05,29.53125,32.316500000000005,53.89825,49012.125,1019.8824999999999,19.874,3.228,3.228,1.8105000000000002,7.82325,37.50175,2.38525,102.64575,0.0
2.15,29.5335,32.316,53.8985,49010.5,1019.8815,19.872500000000002,3.3365,3.3365,1.8695,7.824,37.6135,2.3925,97.856,0.0
2.25,29.534,32.314499999999995,53.898,49009.05,1019.881,19.871499999999997,3.2590000000000003,3.2590000000000003,1.87,7.824,37.6355,2.394,85.9295,0.0
2.35,29.531,32.317,53.898,49012.6,1019.884,19.874,3.208,3.208,1.989,7.825,37.641,2.395,89.216,0.0
2.45,29.5285,32.319,53.897999999999996,49015.0,1019.887,19.8765,3.189,3.189,1.7955,7.825,37.688,2.398,81.04599999999999,0.0
2.55,29.527,32.322,53.902,49019.7,1019.89,19.879,3.177,3.177,1.707,7.825,37.694,2.398,73.533,0.0
2.65,29.525,32.327,53.907,49026.6,1019.895,19.884,3.31,3.31,1.855,7.826,37.723,2.4,71.373,0.0
2.75,29.524,32.326499999999996,53.9055,49026.0,1019.8955,19.883499999999998,3.38,3.38,1.9815,7.827,37.8875,2.41,69.91749999999999,0.0
2.85,29.524,32.326,53.905,49025.9,1019.896,19.884,3.559,3.559,3.014,7.828,38.01,2.418,62.921,0.0
